"","GEOID","year","AGE_CATEGORY","fatality_count","AGE0_4","AGE5_9","AGE10_14","AGE15_17","AGE18_19","rate"
"1","01015",2017,4,1,6804,6294,7361,4541,3240,0.220215811495265
"2","01043",2017,3,1,4612,4216,5801,3463,1673,0.172384071711774
"3","01043",2017,4,1,4612,4216,5801,3463,1673,0.288766965059197
"4","01049",2017,2,1,4192,5525,4729,2794,2374,0.180995475113122
"5","01049",2017,5,1,4192,5525,4729,2794,2374,0.4212299915754
"6","01055",2017,4,1,5900,7279,5140,4021,2586,0.24869435463815
"7","01055",2017,5,2,5900,7279,5140,4021,2586,0.773395204949729
"8","01073",2017,1,3,42488,40720,43028,24518,16784,0.0706081717190736
"9","01073",2017,2,2,42488,40720,43028,24518,16784,0.0491159135559921
"10","01073",2017,4,3,42488,40720,43028,24518,16784,0.122359083122604
"11","01073",2017,5,4,42488,40720,43028,24518,16784,0.238322211630124
"12","01083",2017,4,1,5037,6140,5679,4372,1862,0.228728270814273
"13","01083",2017,5,2,5037,6140,5679,4372,1862,1.07411385606874
"14","01089",2017,1,1,21315,20289,23867,14035,9410,0.0469153178512784
"15","01089",2017,4,1,21315,20289,23867,14035,9410,0.0712504453152832
"16","01095",2017,5,2,6267,6783,6777,3851,2896,0.69060773480663
"17","01097",2017,1,1,27101,25414,27886,17268,10373,0.0368990074167005
"18","01097",2017,3,1,27101,25414,27886,17268,10373,0.0358602883167181
"19","01097",2017,4,3,27101,25414,27886,17268,10373,0.173731758165393
"20","01097",2017,5,2,27101,25414,27886,17268,10373,0.192808252193194
"21","01101",2017,4,1,15055,13981,15386,9026,6817,0.110791048083315
"22","01103",2017,1,1,7039,7717,7349,4782,3257,0.142065634323057
"23","01103",2017,2,1,7039,7717,7349,4782,3257,0.129584035246858
"24","01103",2017,4,2,7039,7717,7349,4782,3257,0.41823504809703
"25","01103",2017,5,2,7039,7717,7349,4782,3257,0.614062020264047
"26","01115",2017,1,1,5327,5770,6192,3256,639,0.18772292096865
"27","01115",2017,3,1,5327,5770,6192,3256,639,0.161498708010336
"28","01115",2017,5,4,5327,5770,6192,3256,639,6.25978090766823
"29","01117",2017,4,1,11491,14445,15352,9387,5416,0.10653030787259
"30","01121",2017,1,1,4338,4991,4789,3280,1722,0.230520977408944
"31","01121",2017,4,2,4338,4991,4789,3280,1722,0.609756097560976
"32","01121",2017,5,2,4338,4991,4789,3280,1722,1.16144018583043
"33","01125",2017,3,1,13058,13144,9695,7664,14358,0.103145951521403
"34","01125",2017,5,4,13058,13144,9695,7664,14358,0.278590332915448
"35","01127",2017,4,1,3754,4154,3410,2736,1543,0.365497076023392
"36","02020",2017,4,1,21557,21575,18192,10718,7905,0.0933009889904833
"37","02020",2017,5,1,21557,21575,18192,10718,7905,0.126502213788741
"38","02090",2017,3,1,7032,8430,5298,3172,2777,0.18875047187618
"39","02170",2017,3,1,7728,7489,9108,4825,2300,0.109793588054458
"40","04001",2017,1,1,4619,5688,5908,3564,2753,0.216497077289457
"41","04001",2017,4,4,4619,5688,5908,3564,2753,1.12233445566779
"42","04001",2017,5,1,4619,5688,5908,3564,2753,0.363240101707228
"43","04005",2017,3,1,7632,5941,10460,5536,12351,0.0956022944550669
"44","04005",2017,5,2,7632,5941,10460,5536,12351,0.161930208080317
"45","04013",2017,1,1,280625,277613,308592,178433,111879,0.00356347438752784
"46","04013",2017,2,5,280625,277613,308592,178433,111879,0.0180106839377118
"47","04013",2017,3,8,280625,277613,308592,178433,111879,0.0259241976460829
"48","04013",2017,4,9,280625,277613,308592,178433,111879,0.0504391003906228
"49","04013",2017,5,18,280625,277613,308592,178433,111879,0.160888102324833
"50","04015",2017,1,2,9306,8096,12152,6645,4996,0.21491510853213
"51","04015",2017,4,1,9306,8096,12152,6645,4996,0.150489089541008
"52","04015",2017,5,2,9306,8096,12152,6645,4996,0.400320256204964
"53","04017",2017,2,3,7700,6832,10014,4899,3155,0.439110070257611
"54","04017",2017,3,1,7700,6832,10014,4899,3155,0.0998601957259836
"55","04017",2017,4,3,7700,6832,10014,4899,3155,0.612369871402327
"56","04017",2017,5,4,7700,6832,10014,4899,3155,1.26782884310618
"57","04019",2017,1,1,58838,59809,60490,37882,32681,0.016995819028519
"58","04019",2017,2,1,58838,59809,60490,37882,32681,0.0167198916551021
"59","04019",2017,3,1,58838,59809,60490,37882,32681,0.01653165812531
"60","04019",2017,4,1,58838,59809,60490,37882,32681,0.0263977614698274
"61","04019",2017,5,2,58838,59809,60490,37882,32681,0.061197637771182
"62","04021",2017,4,2,24640,29050,28616,16698,10633,0.119774823332136
"63","04021",2017,5,4,24640,29050,28616,16698,10633,0.376187341295965
"64","04025",2017,4,1,9202,10975,10455,6811,4944,0.14682131845544
"65","04025",2017,5,2,9202,10975,10455,6811,4944,0.40453074433657
"66","04027",2017,2,3,14772,13449,15703,8573,6613,0.22306491188936
"67","04027",2017,4,2,14772,13449,15703,8573,6613,0.233290563396711
"68","04027",2017,5,1,14772,13449,15703,8573,6613,0.151217299259035
"69","05007",2017,5,1,18400,18443,22704,11205,6144,0.162760416666667
"70","05031",2017,2,1,7278,6653,7828,4442,3796,0.150308131669923
"71","05031",2017,4,1,7278,6653,7828,4442,3796,0.225123818099955
"72","05045",2017,1,1,7759,9135,7168,4668,6846,0.128882587962366
"73","05045",2017,3,1,7759,9135,7168,4668,6846,0.139508928571429
"74","05045",2017,4,1,7759,9135,7168,4668,6846,0.214224507283633
"75","05051",2017,4,1,4842,5524,5945,3531,2870,0.283205890682526
"76","05051",2017,5,1,4842,5524,5945,3531,2870,0.348432055749129
"77","05069",2017,3,1,3773,4634,4268,2811,2297,0.234301780693533
"78","05069",2017,5,1,3773,4634,4268,2811,2297,0.43535045711798
"79","05119",2017,4,1,26337,27936,23957,14107,8719,0.0708867937903169
"80","05119",2017,5,2,26337,27936,23957,14107,8719,0.229384103681615
"81","05125",2017,1,1,7027,8030,8141,4766,2510,0.142308239647076
"82","05125",2017,3,1,7027,8030,8141,4766,2510,0.122835032551284
"83","05131",2017,4,1,8109,8292,8472,6080,3853,0.164473684210526
"84","05131",2017,5,1,8109,8292,8472,6080,3853,0.25953802232027
"85","05143",2017,4,2,15645,17613,14549,9166,10101,0.218197687104517
"86","05143",2017,5,1,15645,17613,14549,9166,10101,0.099000099000099
"87","05145",2017,5,2,4925,5157,5206,3230,2195,0.911161731207289
"88","06001",2017,1,1,97510,95464,96591,55097,38605,0.0102553584247769
"89","06001",2017,2,2,97510,95464,96591,55097,38605,0.0209503058744658
"90","06001",2017,3,3,97510,95464,96591,55097,38605,0.0310587942976054
"91","06001",2017,4,1,97510,95464,96591,55097,38605,0.0181498085195201
"92","06001",2017,5,3,97510,95464,96591,55097,38605,0.0777101411734231
"93","06007",2017,2,1,12387,14888,10780,7814,8029,0.0671681891456206
"94","06007",2017,4,1,12387,14888,10780,7814,8029,0.127975428717686
"95","06007",2017,5,1,12387,14888,10780,7814,8029,0.124548511645286
"96","06013",2017,2,1,65195,71692,77717,47410,25432,0.0139485577191318
"97","06013",2017,3,3,65195,71692,77717,47410,25432,0.0386015929590694
"98","06013",2017,4,1,65195,71692,77717,47410,25432,0.021092596498629
"99","06013",2017,5,1,65195,71692,77717,47410,25432,0.0393205410506449
"100","06017",2017,5,1,8675,9547,12387,7140,4403,0.227117874176698
"101","06019",2017,1,1,77903,79267,80217,44296,26925,0.0128364761305726
"102","06019",2017,2,2,77903,79267,80217,44296,26925,0.0252311806931005
"103","06019",2017,3,1,77903,79267,80217,44296,26925,0.0124661854719074
"104","06019",2017,4,1,77903,79267,80217,44296,26925,0.0225754018421528
"105","06019",2017,5,6,77903,79267,80217,44296,26925,0.222841225626741
"106","06023",2017,1,3,7407,7419,6747,4522,5435,0.405022276225192
"107","06023",2017,4,2,7407,7419,6747,4522,5435,0.442282176028306
"108","06025",2017,2,2,15444,13508,15334,8265,4882,0.148060408646728
"109","06025",2017,4,1,15444,13508,15334,8265,4882,0.120992135511192
"110","06029",2017,1,1,70378,74619,72566,41659,25746,0.0142089857625963
"111","06029",2017,2,5,70378,74619,72566,41659,25746,0.0670070625443922
"112","06029",2017,3,1,70378,74619,72566,41659,25746,0.0137805583882259
"113","06029",2017,4,2,70378,74619,72566,41659,25746,0.0480088336253871
"114","06029",2017,5,7,70378,74619,72566,41659,25746,0.271886895051658
"115","06031",2017,3,1,11683,11068,11675,6541,4458,0.0856531049250535
"116","06031",2017,5,1,11683,11068,11675,6541,4458,0.224315836698071
"117","06033",2017,3,1,2646,4364,4038,2120,860,0.247647350173353
"118","06037",2017,1,4,617979,594917,631286,380723,261822,0.00647271185590449
"119","06037",2017,2,4,617979,594917,631286,380723,261822,0.00672362699334529
"120","06037",2017,3,7,617979,594917,631286,380723,261822,0.0110884765383677
"121","06037",2017,4,13,617979,594917,631286,380723,261822,0.0341455598952519
"122","06037",2017,5,32,617979,594917,631286,380723,261822,0.122220439840808
"123","06039",2017,3,1,11113,12037,12219,7211,3878,0.081839757754317
"124","06039",2017,4,1,11113,12037,12219,7211,3878,0.138677021217584
"125","06045",2017,5,2,5141,5428,5172,3180,1558,1.28369704749679
"126","06047",2017,1,1,21350,21753,23504,13907,9427,0.0468384074941452
